question_id,type,question_type,year,form,course_before,course_after,unit_before,unit_after,topic_before,topic_after,topic_code_before,topic_code_after,lesson_before,lesson_after,source_file,source_page,source_question_number,source_checked,source_status,source_confidence,transcription_status,stem_status,choices_status,parts_status,answer_status,computed_answer,stored_answer,source_answer,solution_status,rubric_status,mathematical_status,math_status,katex_status,media_status,calculator_status,course_mapping_status,unit_mapping_status,topic_mapping_status,lesson_mapping_status,mapping_status,mapping_confidence,student_ready,review_required,overall_status,corrections_count,corrections_made,reviewer_notes,notes,timestamp
APCALC-LEGACY-MCQ-1969-011,mcq,mcq,1969,,AP Calculus AB,AP Calculus AB,5,5,5.11,5.11 Solving Optimization Problems,5.11,5.11,APCALC-5.11,APCALC-5.11,AP Calculus historical archive,8; 2,11,True,verified,low,human_review_required,verified,verified,not_required,verified,B,B,B,verified,not_required,verified,verified,verified,not_required,verified,verified,verified,verified,verified,verified,verified,False,True,teacher-archive-only,1,studentReady/public deployment gate,Preserved in the canonical teacher/archive bank. Excluded from the public GitHub Pages student pool because the source metadata permits school-internal use only and page-by-page transcription signoff is pending.,Preserved in the canonical teacher/archive bank. Excluded from the public GitHub Pages student pool because the source metadata permits school-internal use only and page-by-page transcription signoff is pending.,2026-07-24T21:33:52+00:00
APCALC-LEGACY-MCQ-1969-012,mcq,mcq,1969,,AP Calculus AB,AP Calculus AB,,,Prerequisite,Composition of Functions,Prerequisite,Prerequisite,APCALC-PREREQUISITE,APCALC-PREREQUISITE,AP Calculus historical archive,9; 3,12,True,verified,low,human_review_required,verified,verified,not_required,verified,A,A,A,verified,not_required,verified,verified,verified,not_required,verified,verified,verified,verified,verified,verified,verified,False,True,teacher-archive-only,1,studentReady/public deployment gate,Preserved in the canonical teacher/archive bank. Excluded from the public GitHub Pages student pool because the source metadata permits school-internal use only and page-by-page transcription signoff is pending.,Preserved in the canonical teacher/archive bank. Excluded from the public GitHub Pages student pool because the source metadata permits school-internal use only and page-by-page transcription signoff is pending.,2026-07-24T21:33:52+00:00
APCALC-LEGACY-MCQ-1969-013,mcq,mcq,1969,,AP Calculus AB,AP Calculus AB,8,8,8.4,8.4 Finding the Area Between Curves Expressed as Functions of x,8.4,8.4,APCALC-8.4,APCALC-8.4,AP Calculus historical archive,9; 3,13,True,verified,low,human_review_required,verified,verified,not_required,verified,C,C,C,verified,not_required,verified,verified,verified,not_required,verified,verified,verified,verified,verified,verified,verified,False,True,teacher-archive-only,1,studentReady/public deployment gate,Preserved in the canonical teacher/archive bank. Excluded from the public GitHub Pages student pool because the source metadata permits school-internal use only and page-by-page transcription signoff is pending.,Preserved in the canonical teacher/archive bank. Excluded from the public GitHub Pages student pool because the source metadata permits school-internal use only and page-by-page transcription signoff is pending.,2026-07-24T21:33:52+00:00
APCALC-LEGACY-MCQ-1969-014,mcq,mcq,1969,,AP Calculus AB,AP Calculus AB,,,Prerequisite,Inverse Functions,Prerequisite,Prerequisite,APCALC-PREREQUISITE,APCALC-PREREQUISITE,AP Calculus historical archive,9; 3,14,True,verified,low,human_review_required,verified,verified,not_required,verified,E,E,E,verified,not_required,verified,verified,verified,not_required,verified,verified,verified,verified,verified,verified,verified,False,True,teacher-archive-only,1,studentReady/public deployment gate,Preserved in the canonical teacher/archive bank. Excluded from the public GitHub Pages student pool because the source metadata permits school-internal use only and page-by-page transcription signoff is pending.,Preserved in the canonical teacher/archive bank. Excluded from the public GitHub Pages student pool because the source metadata permits school-internal use only and page-by-page transcription signoff is pending.,2026-07-24T21:33:52+00:00
APCALC-LEGACY-MCQ-1969-015,mcq,mcq,1969,,AP Calculus AB,AP Calculus AB,5,5,5.3,5.3 Determining Intervals on Which a Function Is Increasing or Decreasing,5.3,5.3,APCALC-5.3,APCALC-5.3,AP Calculus historical archive,9; 3,15,True,verified,low,human_review_required,verified,verified,not_required,verified,B,B,B,verified,not_required,verified,verified,verified,not_required,verified,verified,verified,verified,verified,verified,verified,False,True,teacher-archive-only,1,studentReady/public deployment gate,Preserved in the canonical teacher/archive bank. Excluded from the public GitHub Pages student pool because the source metadata permits school-internal use only and page-by-page transcription signoff is pending.,Preserved in the canonical teacher/archive bank. Excluded from the public GitHub Pages student pool because the source metadata permits school-internal use only and page-by-page transcription signoff is pending.,2026-07-24T21:33:52+00:00
APCALC-LEGACY-MCQ-1969-016,mcq,mcq,1969,,AP Calculus AB,AP Calculus AB,5,5,5.9,"5.9 Connecting a Function, Its First Derivative, and Its Second Derivative",5.9,5.9,APCALC-5.9,APCALC-5.9,AP Calculus historical archive,10; 4,16,True,verified,low,human_review_required,verified,verified,not_required,verified,B,B,B,verified,not_required,verified,verified,verified,not_required,verified,verified,verified,verified,verified,verified,verified,False,True,teacher-archive-only,1,studentReady/public deployment gate,Preserved in the canonical teacher/archive bank. Excluded from the public GitHub Pages student pool because the source metadata permits school-internal use only and page-by-page transcription signoff is pending.,Preserved in the canonical teacher/archive bank. Excluded from the public GitHub Pages student pool because the source metadata permits school-internal use only and page-by-page transcription signoff is pending.,2026-07-24T21:33:52+00:00
APCALC-LEGACY-MCQ-1969-017,mcq,mcq,1969,,AP Calculus AB,AP Calculus AB,5,5,5.6,5.6 Determining Concavity of Functions over Their Domains,5.6,5.6,APCALC-5.6,APCALC-5.6,AP Calculus historical archive,10; 4,17,True,verified,low,human_review_required,verified,verified,not_required,verified,B,B,B,verified,not_required,verified,verified,verified,not_required,verified,verified,verified,verified,verified,verified,verified,False,True,teacher-archive-only,1,studentReady/public deployment gate,Preserved in the canonical teacher/archive bank. Excluded from the public GitHub Pages student pool because the source metadata permits school-internal use only and page-by-page transcription signoff is pending.,Preserved in the canonical teacher/archive bank. Excluded from the public GitHub Pages student pool because the source metadata permits school-internal use only and page-by-page transcription signoff is pending.,2026-07-24T21:33:52+00:00
APCALC-LEGACY-MCQ-1969-018,mcq,mcq,1969,,AP Calculus AB,AP Calculus AB,2,2,2.4,2.4 Connecting Differentiability and Continuity,2.4,2.4,APCALC-2.4,APCALC-2.4,AP Calculus historical archive,10; 4,18,True,verified,low,human_review_required,verified,verified,not_required,verified,E,E,E,verified,not_required,verified,verified,verified,not_required,verified,verified,verified,verified,verified,verified,verified,False,True,teacher-archive-only,1,studentReady/public deployment gate,Preserved in the canonical teacher/archive bank. Excluded from the public GitHub Pages student pool because the source metadata permits school-internal use only and page-by-page transcription signoff is pending.,Preserved in the canonical teacher/archive bank. Excluded from the public GitHub Pages student pool because the source metadata permits school-internal use only and page-by-page transcription signoff is pending.,2026-07-24T21:33:52+00:00
APCALC-LEGACY-MCQ-1969-019,mcq,mcq,1969,,AP Calculus AB,AP Calculus AB,5,5,5.5,5.5 Using the Candidates Test to Determine Absolute Extrema,5.5,5.5,APCALC-5.5,APCALC-5.5,AP Calculus historical archive,10; 4,19,True,verified,low,human_review_required,verified,verified,not_required,verified,C,C,C,verified,not_required,verified,verified,verified,not_required,verified,verified,verified,verified,verified,verified,verified,False,True,teacher-archive-only,1,studentReady/public deployment gate,Preserved in the canonical teacher/archive bank. Excluded from the public GitHub Pages student pool because the source metadata permits school-internal use only and page-by-page transcription signoff is pending.,Preserved in the canonical teacher/archive bank. Excluded from the public GitHub Pages student pool because the source metadata permits school-internal use only and page-by-page transcription signoff is pending.,2026-07-24T21:33:52+00:00
APCALC-LEGACY-MCQ-1969-020,mcq,mcq,1969,,AP Calculus AB,AP Calculus AB,3,3,3.4,3.4 Differentiating Inverse Trigonometric Functions,3.4,3.4,APCALC-3.4,APCALC-3.4,AP Calculus historical archive,11; 5,20,True,verified,low,human_review_required,verified,verified,not_required,verified,A,A,A,verified,not_required,verified,verified,verified,not_required,verified,verified,verified,verified,verified,verified,verified,False,True,teacher-archive-only,1,studentReady/public deployment gate,Preserved in the canonical teacher/archive bank. Excluded from the public GitHub Pages student pool because the source metadata permits school-internal use only and page-by-page transcription signoff is pending.,Preserved in the canonical teacher/archive bank. Excluded from the public GitHub Pages student pool because the source metadata permits school-internal use only and page-by-page transcription signoff is pending.,2026-07-24T21:33:52+00:00
APCALC-LEGACY-MCQ-1969-021,mcq,mcq,1969,,AP Calculus AB,AP Calculus AB,5,5,5.3,5.3 Determining Intervals on Which a Function Is Increasing or Decreasing,5.3,5.3,APCALC-5.3,APCALC-5.3,AP Calculus historical archive,11; 5,21,True,verified,low,human_review_required,verified,verified,not_required,verified,B,B,B,verified,not_required,verified,verified,verified,not_required,verified,verified,verified,verified,verified,verified,verified,False,True,teacher-archive-only,1,studentReady/public deployment gate,Preserved in the canonical teacher/archive bank. Excluded from the public GitHub Pages student pool because the source metadata permits school-internal use only and page-by-page transcription signoff is pending.,Preserved in the canonical teacher/archive bank. Excluded from the public GitHub Pages student pool because the source metadata permits school-internal use only and page-by-page transcription signoff is pending.,2026-07-24T21:33:52+00:00
APCALC-LEGACY-MCQ-1969-022,mcq,mcq,1969,,AP Calculus AB,AP Calculus AB,2,2,2.7,"2.7 Derivatives of cos x, sin x, e^x, and ln x",2.7,2.7,APCALC-2.7,APCALC-2.7,AP Calculus historical archive,11; 5,22,True,verified,low,human_review_required,verified,verified,not_required,verified,E,E,E,verified,not_required,verified,verified,verified,not_required,verified,verified,verified,verified,verified,verified,verified,False,True,teacher-archive-only,1,studentReady/public deployment gate,Preserved in the canonical teacher/archive bank. Excluded from the public GitHub Pages student pool because the source metadata permits school-internal use only and page-by-page transcription signoff is pending.,Preserved in the canonical teacher/archive bank. Excluded from the public GitHub Pages student pool because the source metadata permits school-internal use only and page-by-page transcription signoff is pending.,2026-07-24T21:33:52+00:00
APCALC-LEGACY-MCQ-1969-023,mcq,mcq,1969,,AP Calculus AB,AP Calculus AB,8,8,8.4,8.4 Finding the Area Between Curves Expressed as Functions of x,8.4,8.4,APCALC-8.4,APCALC-8.4,AP Calculus historical archive,11; 5,23,True,verified,low,human_review_required,verified,verified,not_required,verified,C,C,C,verified,not_required,verified,verified,verified,not_required,verified,verified,verified,verified,verified,verified,verified,False,True,teacher-archive-only,1,studentReady/public deployment gate,Preserved in the canonical teacher/archive bank. Excluded from the public GitHub Pages student pool because the source metadata permits school-internal use only and page-by-page transcription signoff is pending.,Preserved in the canonical teacher/archive bank. Excluded from the public GitHub Pages student pool because the source metadata permits school-internal use only and page-by-page transcription signoff is pending.,2026-07-24T21:33:52+00:00
APCALC-LEGACY-MCQ-1969-024,mcq,mcq,1969,,AP Calculus AB,AP Calculus AB,3,3,3.2,3.2 Implicit Differentiation,3.2,3.2,APCALC-3.2,APCALC-3.2,AP Calculus historical archive,11; 5,24,True,verified,low,human_review_required,verified,verified,not_required,verified,C,C,C,verified,not_required,verified,verified,verified,not_required,verified,verified,verified,verified,verified,verified,verified,False,True,teacher-archive-only,1,studentReady/public deployment gate,Preserved in the canonical teacher/archive bank. Excluded from the public GitHub Pages student pool because the source metadata permits school-internal use only and page-by-page transcription signoff is pending.,Preserved in the canonical teacher/archive bank. Excluded from the public GitHub Pages student pool because the source metadata permits school-internal use only and page-by-page transcription signoff is pending.,2026-07-24T21:33:52+00:00
APCALC-LEGACY-MCQ-1969-025,mcq,mcq,1969,,AP Calculus AB,AP Calculus AB,8,8,8.4,8.4 Finding the Area Between Curves Expressed as Functions of x,8.4,8.4,APCALC-8.4,APCALC-8.4,AP Calculus historical archive,12; 6,25,True,verified,low,human_review_required,verified,verified,not_required,verified,A,A,A,verified,not_required,verified,verified,verified,not_required,verified,verified,verified,verified,verified,verified,verified,False,True,teacher-archive-only,1,studentReady/public deployment gate,Preserved in the canonical teacher/archive bank. Excluded from the public GitHub Pages student pool because the source metadata permits school-internal use only and page-by-page transcription signoff is pending.,Preserved in the canonical teacher/archive bank. Excluded from the public GitHub Pages student pool because the source metadata permits school-internal use only and page-by-page transcription signoff is pending.,2026-07-24T21:33:52+00:00
APCALC-LEGACY-MCQ-1969-026,mcq,mcq,1969,,AP Calculus AB,AP Calculus AB,6,6,6.7,6.7 The Fundamental Theorem of Calculus and Definite Integrals,6.7,6.7,APCALC-6.7,APCALC-6.7,AP Calculus historical archive,12; 6,26,True,verified,low,human_review_required,verified,verified,not_required,verified,C,C,C,verified,not_required,verified,verified,verified,not_required,verified,verified,verified,verified,verified,verified,verified,False,True,teacher-archive-only,1,studentReady/public deployment gate,Preserved in the canonical teacher/archive bank. Excluded from the public GitHub Pages student pool because the source metadata permits school-internal use only and page-by-page transcription signoff is pending.,Preserved in the canonical teacher/archive bank. Excluded from the public GitHub Pages student pool because the source metadata permits school-internal use only and page-by-page transcription signoff is pending.,2026-07-24T21:33:52+00:00
APCALC-LEGACY-MCQ-1969-027,mcq,mcq,1969,,AP Calculus AB,AP Calculus AB,6,6,6.8,6.8 Finding Antiderivatives and Indefinite Integrals,6.8,6.8,APCALC-6.8,APCALC-6.8,AP Calculus historical archive,12; 6,27,True,verified,low,human_review_required,verified,verified,not_required,verified,C,C,C,verified,not_required,verified,verified,verified,not_required,verified,verified,verified,verified,verified,verified,verified,False,True,teacher-archive-only,1,studentReady/public deployment gate,Preserved in the canonical teacher/archive bank. Excluded from the public GitHub Pages student pool because the source metadata permits school-internal use only and page-by-page transcription signoff is pending.,Preserved in the canonical teacher/archive bank. Excluded from the public GitHub Pages student pool because the source metadata permits school-internal use only and page-by-page transcription signoff is pending.,2026-07-24T21:33:52+00:00
APCALC-LEGACY-MCQ-1969-028,mcq,mcq,1969,,AP Calculus AB,AP Calculus AB,,,Prerequisite,Trigonometric Amplitude,Prerequisite,Prerequisite,APCALC-PREREQUISITE,APCALC-PREREQUISITE,AP Calculus historical archive,12; 6,28,True,verified,low,human_review_required,verified,verified,not_required,verified,C,C,C,verified,not_required,verified,verified,verified,not_required,verified,verified,verified,verified,verified,verified,verified,False,True,teacher-archive-only,1,studentReady/public deployment gate,Preserved in the canonical teacher/archive bank. Excluded from the public GitHub Pages student pool because the source metadata permits school-internal use only and page-by-page transcription signoff is pending.,Preserved in the canonical teacher/archive bank. Excluded from the public GitHub Pages student pool because the source metadata permits school-internal use only and page-by-page transcription signoff is pending.,2026-07-24T21:33:52+00:00
APCALC-LEGACY-MCQ-1969-029,mcq,mcq,1969,,AP Calculus AB,AP Calculus AB,6,6,6.9,6.9 Integrating Using Substitution,6.9,6.9,APCALC-6.9,APCALC-6.9,AP Calculus historical archive,13; 7,29,True,verified,low,human_review_required,verified,verified,not_required,verified,A,A,A,verified,not_required,verified,verified,verified,not_required,verified,verified,verified,verified,verified,verified,verified,False,True,teacher-archive-only,1,studentReady/public deployment gate,Preserved in the canonical teacher/archive bank. Excluded from the public GitHub Pages student pool because the source metadata permits school-internal use only and page-by-page transcription signoff is pending.,Preserved in the canonical teacher/archive bank. Excluded from the public GitHub Pages student pool because the source metadata permits school-internal use only and page-by-page transcription signoff is pending.,2026-07-24T21:33:52+00:00
APCALC-LEGACY-MCQ-1969-030,mcq,mcq,1969,,AP Calculus AB,AP Calculus AB,1,1,1.16,1.16 Working with the Intermediate Value Theorem,1.16,1.16,APCALC-1.16,APCALC-1.16,AP Calculus historical archive,13; 7,30,True,verified,low,human_review_required,verified,verified,not_required,verified,E,E,E,verified,not_required,verified,verified,verified,not_required,verified,verified,verified,verified,verified,verified,verified,False,True,teacher-archive-only,1,studentReady/public deployment gate,Preserved in the canonical teacher/archive bank. Excluded from the public GitHub Pages student pool because the source metadata permits school-internal use only and page-by-page transcription signoff is pending.,Preserved in the canonical teacher/archive bank. Excluded from the public GitHub Pages student pool because the source metadata permits school-internal use only and page-by-page transcription signoff is pending.,2026-07-24T21:33:52+00:00
APCALC-LEGACY-MCQ-1969-031,mcq,mcq,1969,,AP Calculus AB,AP Calculus AB,7,7,7.7,7.7 Finding Particular Solutions Using Initial Conditions and Separation of Variables,7.7,7.7,APCALC-7.7,APCALC-7.7,AP Calculus historical archive,13; 7,31,True,verified,low,human_review_required,verified,verified,not_required,verified,C,C,C,verified,not_required,verified,verified,verified,not_required,verified,verified,verified,verified,verified,verified,verified,False,True,teacher-archive-only,1,studentReady/public deployment gate,Preserved in the canonical teacher/archive bank. Excluded from the public GitHub Pages student pool because the source metadata permits school-internal use only and page-by-page transcription signoff is pending.,Preserved in the canonical teacher/archive bank. Excluded from the public GitHub Pages student pool because the source metadata permits school-internal use only and page-by-page transcription signoff is pending.,2026-07-24T21:33:52+00:00
APCALC-LEGACY-MCQ-1969-032,mcq,mcq,1969,,AP Calculus AB,AP Calculus AB,1,1,1.16,1.16 Working with the Intermediate Value Theorem,1.16,1.16,APCALC-1.16,APCALC-1.16,AP Calculus historical archive,13; 7,32,True,verified,low,human_review_required,verified,verified,not_required,verified,B,B,B,verified,not_required,verified,verified,verified,not_required,verified,verified,verified,verified,verified,verified,verified,False,True,teacher-archive-only,1,studentReady/public deployment gate,Preserved in the canonical teacher/archive bank. Excluded from the public GitHub Pages student pool because the source metadata permits school-internal use only and page-by-page transcription signoff is pending.,Preserved in the canonical teacher/archive bank. Excluded from the public GitHub Pages student pool because the source metadata permits school-internal use only and page-by-page transcription signoff is pending.,2026-07-24T21:33:52+00:00
APCALC-LEGACY-MCQ-1969-033,mcq,mcq,1969,,AP Calculus AB,AP Calculus AB,8,8,8.1,8.1 Finding the Average Value of a Function on an Interval,8.1,8.1,APCALC-8.1,APCALC-8.1,AP Calculus historical archive,13; 7,33,True,verified,low,human_review_required,verified,verified,not_required,verified,A,A,A,verified,not_required,verified,verified,verified,not_required,verified,verified,verified,verified,verified,verified,verified,False,True,teacher-archive-only,1,studentReady/public deployment gate,Preserved in the canonical teacher/archive bank. Excluded from the public GitHub Pages student pool because the source metadata permits school-internal use only and page-by-page transcription signoff is pending.,Preserved in the canonical teacher/archive bank. Excluded from the public GitHub Pages student pool because the source metadata permits school-internal use only and page-by-page transcription signoff is pending.,2026-07-24T21:33:52+00:00
APCALC-LEGACY-MCQ-1969-034,mcq,mcq,1969,,AP Calculus AB,AP Calculus AB,,,Historical enrichment,Orthogonal Trajectories,Historical enrichment,Historical enrichment,,,AP Calculus historical archive,14; 8,34,True,verified,verified,verified,verified,verified,not_required,verified,D,D,D,review-required,not_required,verified,verified,verified,not_required,review-required,unmapped,unmapped,unmapped,unmapped,unmapped,unmapped,False,True,teacher-archive-only,0,,Orthogonal trajectories are not an exact current ECHS/AP lesson target.,Orthogonal trajectories are not an exact current ECHS/AP lesson target.,2026-07-24T17:46:03+00:00
APCALC-LEGACY-MCQ-1969-035,mcq,mcq,1969,,AP Calculus AB,AP Calculus AB,4,4,4.2,"4.2 Straight-Line Motion: Connecting Position, Velocity, and Acceleration",4.2,4.2,APCALC-4.2,APCALC-4.2,AP Calculus historical archive,14; 8,35,True,verified,low,human_review_required,verified,verified,not_required,verified,A,A,A,verified,not_required,verified,verified,verified,not_required,verified,verified,verified,verified,verified,verified,verified,False,True,teacher-archive-only,1,studentReady/public deployment gate,Preserved in the canonical teacher/archive bank. Excluded from the public GitHub Pages student pool because the source metadata permits school-internal use only and page-by-page transcription signoff is pending.,Preserved in the canonical teacher/archive bank. Excluded from the public GitHub Pages student pool because the source metadata permits school-internal use only and page-by-page transcription signoff is pending.,2026-07-24T21:33:52+00:00
APCALC-LEGACY-MCQ-1969-036,mcq,mcq,1969,,AP Calculus AB,AP Calculus AB,4,4,4.6,4.6 Approximating Values of a Function Using Local Linearity and Linearization,4.6,4.6,APCALC-4.6,APCALC-4.6,AP Calculus historical archive,14; 8,36,True,verified,low,human_review_required,verified,verified,not_required,verified,B,B,B,verified,not_required,verified,verified,verified,not_required,verified,verified,verified,verified,verified,verified,verified,False,True,teacher-archive-only,1,studentReady/public deployment gate,Preserved in the canonical teacher/archive bank. Excluded from the public GitHub Pages student pool because the source metadata permits school-internal use only and page-by-page transcription signoff is pending.,Preserved in the canonical teacher/archive bank. Excluded from the public GitHub Pages student pool because the source metadata permits school-internal use only and page-by-page transcription signoff is pending.,2026-07-24T21:33:52+00:00
