question_id,type,year,course,unit_before,unit_after,topic_before,topic_after,lesson_before,lesson_after,source_checked,source_page,transcription_status,stem_status,choice_status,answer_status,solution_status,math_status,katex_status,media_status,course_mapping_status,unit_mapping_status,topic_mapping_status,lesson_mapping_status,calculator_status,mapping_status,overall_status,student_ready,corrections_count,review_required,notes
APCALC-AB-FRQ-1970-04,frq,1970,AP Calculus AB,4,4,4.5,4.5,APCALC-4.4; APCALC-4.3; APCALC-4.5,APCALC-4.4; APCALC-4.3; APCALC-4.5,Canonical provenance only; source scan not supplied in this run,6,uncertain,uncertain,not_applicable,source_key_verified,available_unverified,consistency_check_only,verified,incomplete,high,high,high,high,metadata_unverified,high,teacher_only,False,0,True,Requires independent human mathematical verification against the complete source.
APCALC-AB-FRQ-1970-05,frq,1970,AP Calculus AB,4,4,3.1 / 4.2,3.1 / 4.2,APCALC-3.1; APCALC-4.2,APCALC-3.1; APCALC-4.2,Canonical provenance only; source scan not supplied in this run,6,uncertain,uncertain,not_applicable,source_key_verified,available_unverified,consistency_check_only,verified,verified,medium,medium,medium,medium,metadata_unverified,medium,teacher_only,False,0,True,Requires independent human mathematical verification against the complete source.
APCALC-AB-FRQ-1970-06,frq,1970,AP Calculus AB,8,8,8.8 / 5.10,8.8 / 5.10,APCALC-8.8; APCALC-5.10,APCALC-8.8; APCALC-5.10,Canonical provenance only; source scan not supplied in this run,6; 7,uncertain,uncertain,not_applicable,source_key_verified,available_unverified,consistency_check_only,verified,incomplete,medium,medium,medium,medium,metadata_unverified,medium,teacher_only,False,0,True,Requires independent human mathematical verification against the complete source.
APCALC-AB-FRQ-1970-07,frq,1970,AP Calculus AB,6,6,6.2 / Mathematical proof enrichment,6.2 / Mathematical proof enrichment,APCALC-6.2; APCALC-6.6,APCALC-6.2; APCALC-6.6,Canonical provenance only; source scan not supplied in this run,7,uncertain,uncertain,not_applicable,source_key_verified,available_unverified,consistency_check_only,verified,incomplete,medium,medium,medium,medium,metadata_unverified,medium,teacher_only,False,0,True,Requires independent human mathematical verification against the complete source.
APCALC-AB-FRQ-1971-01,frq,1971,AP Calculus AB,3,3,Prerequisite / 3.1,Prerequisite / 3.1,APCALC-1.2; APCALC-3.1; APCALC-3.4,APCALC-1.2; APCALC-3.1; APCALC-3.4,Canonical provenance only; source scan not supplied in this run,7,uncertain,uncertain,not_applicable,source_key_verified,available_unverified,consistency_check_only,verified,incomplete,medium,medium,medium,medium,metadata_unverified,medium,teacher_only,False,0,True,Requires independent human mathematical verification against the complete source.
APCALC-AB-FRQ-1971-02,frq,1971,AP Calculus AB,6,6,6.4 / 4.5,6.4 / 4.5,APCALC-6.4; APCALC-6.8; APCALC-4.5,APCALC-6.4; APCALC-6.8; APCALC-4.5,Canonical provenance only; source scan not supplied in this run,7,uncertain,uncertain,not_applicable,source_key_verified,available_unverified,consistency_check_only,verified,incomplete,medium,medium,medium,medium,metadata_unverified,medium,teacher_only,False,0,True,Requires independent human mathematical verification against the complete source.
APCALC-AB-FRQ-1971-03,frq,1971,AP Calculus AB,5,5,5.2 / 5.4 / 5.8,5.2 / 5.4 / 5.8,APCALC-5.2; APCALC-5.4; APCALC-5.8,APCALC-5.2; APCALC-5.4; APCALC-5.8,Canonical provenance only; source scan not supplied in this run,7,uncertain,uncertain,not_applicable,source_key_verified,available_unverified,consistency_check_only,verified,incomplete,medium,medium,medium,medium,metadata_unverified,medium,teacher_only,False,0,True,Requires independent human mathematical verification against the complete source.
APCALC-AB-FRQ-1971-04,frq,1971,AP Calculus AB,5,5,5.10,5.10,APCALC-5.10; APCALC-1.11,APCALC-5.10; APCALC-1.11,Canonical provenance only; source scan not supplied in this run,7,uncertain,uncertain,not_applicable,source_key_verified,available_unverified,consistency_check_only,verified,incomplete,high,high,high,high,metadata_unverified,high,teacher_only,False,0,True,Requires independent human mathematical verification against the complete source.
APCALC-AB-FRQ-1971-05,frq,1971,AP Calculus AB,8,8,8.9 / 8.10,8.9 / 8.10,APCALC-8.9; APCALC-8.10; APCALC-8.5,APCALC-8.9; APCALC-8.10; APCALC-8.5,Canonical provenance only; source scan not supplied in this run,7,uncertain,uncertain,not_applicable,source_key_verified,available_unverified,consistency_check_only,verified,incomplete,medium,medium,medium,medium,metadata_unverified,medium,teacher_only,False,0,True,Requires independent human mathematical verification against the complete source.
APCALC-AB-FRQ-1971-06,frq,1971,AP Calculus AB,4,4,4.2 / 6.4 / 1.15,4.2 / 6.4 / 1.15,APCALC-4.2; APCALC-6.4; APCALC-1.15,APCALC-4.2; APCALC-6.4; APCALC-1.15,Canonical provenance only; source scan not supplied in this run,7; 8,uncertain,uncertain,not_applicable,source_key_verified,available_unverified,consistency_check_only,verified,incomplete,medium,medium,medium,medium,metadata_unverified,medium,teacher_only,False,0,True,Requires independent human mathematical verification against the complete source.
APCALC-AB-FRQ-1971-07,frq,1971,AP Calculus AB,5,5,5.3 / 5.4,5.3 / 5.4,APCALC-5.3; APCALC-5.4; APCALC-1.15,APCALC-5.3; APCALC-5.4; APCALC-1.15,Canonical provenance only; source scan not supplied in this run,8,uncertain,uncertain,not_applicable,source_key_verified,available_unverified,consistency_check_only,verified,incomplete,medium,medium,medium,medium,metadata_unverified,medium,teacher_only,False,0,True,Requires independent human mathematical verification against the complete source.
APCALC-AB-FRQ-1972-01,frq,1972,AP Calculus AB,2,2,2.4 / prerequisite,2.4 / prerequisite,APCALC-2.4; APCALC-1.12,APCALC-2.4; APCALC-1.12,Canonical provenance only; source scan not supplied in this run,8,uncertain,uncertain,not_applicable,source_key_verified,available_unverified,consistency_check_only,verified,incomplete,medium,medium,medium,medium,metadata_unverified,medium,teacher_only,False,0,True,Requires independent human mathematical verification against the complete source.
APCALC-AB-FRQ-1972-02,frq,1972,AP Calculus AB,4,4,4.2,4.2,APCALC-4.2; APCALC-5.2; APCALC-2.8,APCALC-4.2; APCALC-5.2; APCALC-2.8,Canonical provenance only; source scan not supplied in this run,8,uncertain,uncertain,not_applicable,source_key_verified,available_unverified,consistency_check_only,verified,incomplete,high,high,high,high,metadata_unverified,high,teacher_only,False,0,True,Requires independent human mathematical verification against the complete source.
APCALC-AB-FRQ-1972-03,frq,1972,AP Calculus AB,6,6,6.7 / 2.6,6.7 / 2.6,APCALC-2.6; APCALC-6.7; APCALC-8.4,APCALC-2.6; APCALC-6.7; APCALC-8.4,Canonical provenance only; source scan not supplied in this run,8,uncertain,uncertain,not_applicable,source_key_verified,available_unverified,consistency_check_only,verified,incomplete,medium,medium,medium,medium,metadata_unverified,medium,teacher_only,False,0,True,Requires independent human mathematical verification against the complete source.
APCALC-AB-FRQ-1972-04,frq,1972,AP Calculus AB,5,5,5.10,5.10,APCALC-5.10; APCALC-1.3; APCALC-2.9,APCALC-5.10; APCALC-1.3; APCALC-2.9,Canonical provenance only; source scan not supplied in this run,8; 9,uncertain,uncertain,not_applicable,source_key_verified,available_unverified,consistency_check_only,verified,incomplete,high,high,high,high,metadata_unverified,high,teacher_only,False,0,True,Requires independent human mathematical verification against the complete source.
APCALC-AB-FRQ-1972-05,frq,1972,AP Calculus AB,3,3,3.1 / 4.5,3.1 / 4.5,APCALC-3.1; APCALC-3.5; APCALC-4.5,APCALC-3.1; APCALC-3.5; APCALC-4.5,Canonical provenance only; source scan not supplied in this run,9,uncertain,uncertain,not_applicable,source_key_verified,available_unverified,consistency_check_only,verified,incomplete,medium,medium,medium,medium,metadata_unverified,medium,teacher_only,False,0,True,Requires independent human mathematical verification against the complete source.
APCALC-AB-FRQ-1972-06,frq,1972,AP Calculus AB,8,8,8.9 / historical shell method,8.9 / historical shell method,APCALC-8.9; APCALC-6.10,APCALC-8.9; APCALC-6.10,Canonical provenance only; source scan not supplied in this run,9,uncertain,uncertain,not_applicable,source_key_verified,available_unverified,consistency_check_only,verified,incomplete,medium,medium,medium,medium,metadata_unverified,medium,teacher_only,False,0,True,Requires independent human mathematical verification against the complete source.
APCALC-AB-FRQ-1972-07,frq,1972,AP Calculus AB,2,2,2.1 / 2.2,2.1 / 2.2,APCALC-2.1; APCALC-2.2; APCALC-6.8,APCALC-2.1; APCALC-2.2; APCALC-6.8,Canonical provenance only; source scan not supplied in this run,9,uncertain,uncertain,not_applicable,source_key_verified,available_unverified,consistency_check_only,verified,incomplete,medium,medium,medium,medium,metadata_unverified,medium,teacher_only,False,0,True,Requires independent human mathematical verification against the complete source.
APCALC-AB-FRQ-1973-01,frq,1973,AP Calculus AB,5,5,5.2 / prerequisite algebra,5.2 / prerequisite algebra,APCALC-5.2; APCALC-5.3,APCALC-5.2; APCALC-5.3,Canonical provenance only; source scan not supplied in this run,9,uncertain,uncertain,not_applicable,source_key_verified,available_unverified,consistency_check_only,verified,incomplete,medium,medium,medium,medium,metadata_unverified,medium,teacher_only,False,0,True,Requires independent human mathematical verification against the complete source.
APCALC-AB-FRQ-1973-02,frq,1973,AP Calculus AB,4,4,4.2 / 6.8,4.2 / 6.8,APCALC-4.2; APCALC-6.8; APCALC-1.15,APCALC-4.2; APCALC-6.8; APCALC-1.15,Canonical provenance only; source scan not supplied in this run,9; 10,uncertain,uncertain,not_applicable,source_key_verified,available_unverified,consistency_check_only,verified,incomplete,medium,medium,medium,medium,metadata_unverified,medium,teacher_only,False,0,True,Requires independent human mathematical verification against the complete source.
APCALC-AB-FRQ-1973-03,frq,1973,AP Calculus AB,3,3,3.2,3.2,APCALC-3.2; APCALC-2.7; APCALC-5.6,APCALC-3.2; APCALC-2.7; APCALC-5.6,Canonical provenance only; source scan not supplied in this run,10,uncertain,uncertain,not_applicable,source_key_verified,available_unverified,consistency_check_only,verified,incomplete,high,high,high,high,metadata_unverified,high,teacher_only,False,0,True,Requires independent human mathematical verification against the complete source.
APCALC-AB-FRQ-1973-04,frq,1973,AP Calculus AB,8,8,8.5 / 8.10 / prerequisite discriminant,8.5 / 8.10 / prerequisite discriminant,APCALC-8.5; APCALC-8.10,APCALC-8.5; APCALC-8.10,Canonical provenance only; source scan not supplied in this run,10,uncertain,uncertain,not_applicable,source_key_verified,available_unverified,consistency_check_only,verified,incomplete,medium,medium,medium,medium,metadata_unverified,medium,teacher_only,False,0,True,Requires independent human mathematical verification against the complete source.
APCALC-AB-FRQ-1973-05,frq,1973,AP Calculus AB,5,5,5.10 / prerequisite parameter elimination,5.10 / prerequisite parameter elimination,APCALC-5.10; APCALC-3.4,APCALC-5.10; APCALC-3.4,Canonical provenance only; source scan not supplied in this run,10,uncertain,uncertain,not_applicable,source_key_verified,available_unverified,consistency_check_only,verified,incomplete,medium,medium,medium,medium,metadata_unverified,medium,teacher_only,False,0,True,Requires independent human mathematical verification against the complete source.
APCALC-AB-FRQ-1973-06,frq,1973,AP Calculus AB,5,5,5.10,5.10,APCALC-5.10; APCALC-5.11,APCALC-5.10; APCALC-5.11,Canonical provenance only; source scan not supplied in this run,10,uncertain,uncertain,not_applicable,source_key_verified,available_unverified,consistency_check_only,verified,incomplete,high,high,high,high,metadata_unverified,high,teacher_only,False,0,True,Requires independent human mathematical verification against the complete source.
APCALC-AB-FRQ-1973-07,frq,1973,AP Calculus AB,6,6,6.7 / 4.5,6.7 / 4.5,APCALC-6.7; APCALC-4.5; APCALC-8.5,APCALC-6.7; APCALC-4.5; APCALC-8.5,Canonical provenance only; source scan not supplied in this run,10; 11,uncertain,uncertain,not_applicable,source_key_verified,available_unverified,consistency_check_only,verified,incomplete,medium,medium,medium,medium,metadata_unverified,medium,teacher_only,False,0,True,Requires independent human mathematical verification against the complete source.
APCALC-AB-FRQ-1974-01,frq,1974,AP Calculus AB,3,3,3.1 / 3.2 / prerequisite function analysis,3.1 / 3.2 / prerequisite function analysis,APCALC-3.1; APCALC-3.2,APCALC-3.1; APCALC-3.2,Canonical provenance only; source scan not supplied in this run,11,uncertain,uncertain,not_applicable,source_key_verified,available_unverified,consistency_check_only,verified,incomplete,medium,medium,medium,medium,metadata_unverified,medium,teacher_only,False,0,True,Requires independent human mathematical verification against the complete source.
APCALC-AB-FRQ-1974-02,frq,1974,AP Calculus AB,5,5,5.2 / 5.3 / 5.6,5.2 / 5.3 / 5.6,APCALC-5.2; APCALC-5.3; APCALC-5.6,APCALC-5.2; APCALC-5.3; APCALC-5.6,Canonical provenance only; source scan not supplied in this run,11,uncertain,uncertain,not_applicable,source_key_verified,available_unverified,consistency_check_only,verified,incomplete,medium,medium,medium,medium,metadata_unverified,medium,teacher_only,False,0,True,Requires independent human mathematical verification against the complete source.
APCALC-AB-FRQ-1974-03,frq,1974,AP Calculus AB,2,2,2.1 / 2.3,2.1 / 2.3,APCALC-2.1; APCALC-2.3,APCALC-2.1; APCALC-2.3,Canonical provenance only; source scan not supplied in this run,11,uncertain,uncertain,not_applicable,source_key_verified,available_unverified,consistency_check_only,verified,incomplete,medium,medium,medium,medium,metadata_unverified,medium,teacher_only,False,0,True,Requires independent human mathematical verification against the complete source.
APCALC-AB-FRQ-1974-04,frq,1974,AP Calculus AB,6,6,6.8,6.8,APCALC-6.8; APCALC-2.2; APCALC-4.1,APCALC-6.8; APCALC-2.2; APCALC-4.1,Canonical provenance only; source scan not supplied in this run,11,uncertain,uncertain,not_applicable,source_key_verified,available_unverified,consistency_check_only,verified,incomplete,high,high,high,high,metadata_unverified,high,teacher_only,False,0,True,Requires independent human mathematical verification against the complete source.
APCALC-AB-FRQ-1974-05,frq,1974,AP Calculus AB,5,5,5.10,5.10,APCALC-5.10; APCALC-3.5; APCALC-2.7,APCALC-5.10; APCALC-3.5; APCALC-2.7,Canonical provenance only; source scan not supplied in this run,11; 12,uncertain,uncertain,not_applicable,source_key_verified,available_unverified,consistency_check_only,verified,incomplete,high,high,high,high,metadata_unverified,high,teacher_only,False,0,True,Requires independent human mathematical verification against the complete source.
APCALC-AB-FRQ-1974-06,frq,1974,AP Calculus AB,8,8,8.4,8.4,APCALC-8.4; APCALC-6.10,APCALC-8.4; APCALC-6.10,Canonical provenance only; source scan not supplied in this run,12,uncertain,uncertain,not_applicable,source_key_verified,available_unverified,consistency_check_only,verified,incomplete,high,high,high,high,metadata_unverified,high,teacher_only,False,0,True,Requires independent human mathematical verification against the complete source.
APCALC-AB-FRQ-1974-07,frq,1974,AP Calculus AB,7,7,7.2 / 7.8,7.2 / 7.8,APCALC-7.2; APCALC-7.8; APCALC-2.7,APCALC-7.2; APCALC-7.8; APCALC-2.7,Canonical provenance only; source scan not supplied in this run,12,uncertain,uncertain,not_applicable,source_key_verified,available_unverified,consistency_check_only,verified,incomplete,medium,medium,medium,medium,metadata_unverified,medium,teacher_only,False,0,True,Requires independent human mathematical verification against the complete source.
APCALC-AB-FRQ-1975-01,frq,1975,AP Calculus AB,3,3,3.2 / prerequisite inverse functions,3.2 / prerequisite inverse functions,APCALC-3.2,APCALC-3.2,Canonical provenance only; source scan not supplied in this run,12,uncertain,uncertain,not_applicable,source_key_verified,available_unverified,consistency_check_only,verified,incomplete,medium,medium,medium,medium,metadata_unverified,medium,teacher_only,False,0,True,Requires independent human mathematical verification against the complete source.
APCALC-AB-FRQ-1975-02,frq,1975,AP Calculus AB,4,4,4.2 / 4.3 / 4.4,4.2 / 4.3 / 4.4,APCALC-4.2; APCALC-4.3; APCALC-6.6,APCALC-4.2; APCALC-4.3; APCALC-6.6,Canonical provenance only; source scan not supplied in this run,12; 13,uncertain,uncertain,not_applicable,source_key_verified,available_unverified,consistency_check_only,verified,incomplete,medium,medium,medium,medium,metadata_unverified,medium,teacher_only,False,0,True,Requires independent human mathematical verification against the complete source.
APCALC-AB-FRQ-1975-03,frq,1975,AP Calculus AB,2,2,2.2 / 2.4 / 6.4,2.2 / 2.4 / 6.4,APCALC-1.10; APCALC-2.2; APCALC-6.4,APCALC-1.10; APCALC-2.2; APCALC-6.4,Canonical provenance only; source scan not supplied in this run,13,uncertain,uncertain,not_applicable,source_key_verified,available_unverified,consistency_check_only,verified,incomplete,medium,medium,medium,medium,metadata_unverified,medium,teacher_only,False,0,True,Requires independent human mathematical verification against the complete source.
APCALC-AB-FRQ-1975-04,frq,1975,AP Calculus AB,5,5,5.2 / 5.6 / 5.8,5.2 / 5.6 / 5.8,APCALC-5.2; APCALC-5.4; APCALC-5.8,APCALC-5.2; APCALC-5.4; APCALC-5.8,Canonical provenance only; source scan not supplied in this run,13,uncertain,uncertain,not_applicable,source_key_verified,available_unverified,consistency_check_only,verified,incomplete,medium,medium,medium,medium,metadata_unverified,medium,teacher_only,False,0,True,Requires independent human mathematical verification against the complete source.
APCALC-AB-FRQ-1975-05,frq,1975,AP Calculus AB,2,2,2.8 / 2.9,2.8 / 2.9,APCALC-2.5; APCALC-2.9,APCALC-2.5; APCALC-2.9,Canonical provenance only; source scan not supplied in this run,13,uncertain,uncertain,not_applicable,source_key_verified,available_unverified,consistency_check_only,verified,incomplete,medium,medium,medium,medium,metadata_unverified,medium,teacher_only,False,0,True,Requires independent human mathematical verification against the complete source.
APCALC-AB-FRQ-1975-06,frq,1975,AP Calculus AB,8,8,8.4 / 8.9 / historical shell enrichment,8.4 / 8.9 / historical shell enrichment,APCALC-8.4; APCALC-8.9; APCALC-6.1,APCALC-8.4; APCALC-8.9; APCALC-6.1,Canonical provenance only; source scan not supplied in this run,13; 14,uncertain,uncertain,not_applicable,source_key_verified,available_unverified,consistency_check_only,verified,incomplete,medium,medium,medium,medium,metadata_unverified,medium,teacher_only,False,0,True,Requires independent human mathematical verification against the complete source.
APCALC-AB-FRQ-1975-07,frq,1975,AP Calculus AB,2,2,2.2 / 2.7 / Unit 7 connection,2.2 / 2.7 / Unit 7 connection,APCALC-2.2; APCALC-2.7; APCALC-7.6,APCALC-2.2; APCALC-2.7; APCALC-7.6,Canonical provenance only; source scan not supplied in this run,14,uncertain,uncertain,not_applicable,source_key_verified,available_unverified,consistency_check_only,verified,incomplete,medium,medium,medium,medium,metadata_unverified,medium,teacher_only,False,0,True,Requires independent human mathematical verification against the complete source.
APCALC-AB-FRQ-1976-01,frq,1976,AP Calculus AB,2,2,2.1 / 2.2,2.1 / 2.2,APCALC-2.1; APCALC-2.2; APCALC-2.6,APCALC-2.1; APCALC-2.2; APCALC-2.6,Canonical provenance only; source scan not supplied in this run,14,uncertain,uncertain,not_applicable,source_key_verified,available_unverified,consistency_check_only,verified,incomplete,medium,medium,medium,medium,metadata_unverified,medium,teacher_only,False,0,True,Requires independent human mathematical verification against the complete source.
APCALC-AB-FRQ-1976-02,frq,1976,AP Calculus AB,1,1,1.10 / prerequisite algebra,1.10 / prerequisite algebra,APCALC-1.10,APCALC-1.10,Canonical provenance only; source scan not supplied in this run,14,uncertain,uncertain,not_applicable,source_key_verified,available_unverified,consistency_check_only,verified,incomplete,medium,medium,medium,medium,metadata_unverified,medium,teacher_only,False,1,True,Requires independent human mathematical verification against the complete source.
APCALC-AB-FRQ-1976-03,frq,1976,AP Calculus AB,8,8,8.4 / 8.7,8.4 / 8.7,APCALC-8.4; APCALC-8.7,APCALC-8.4; APCALC-8.7,Canonical provenance only; source scan not supplied in this run,14,uncertain,uncertain,not_applicable,source_key_verified,available_unverified,consistency_check_only,verified,incomplete,medium,medium,medium,medium,metadata_unverified,medium,teacher_only,False,0,True,Requires independent human mathematical verification against the complete source.
APCALC-AB-FRQ-1976-04,frq,1976,AP Calculus AB,4,4,3.5 / 4.5,3.5 / 4.5,APCALC-3.5; APCALC-4.5,APCALC-3.5; APCALC-4.5,Canonical provenance only; source scan not supplied in this run,14; 15,uncertain,uncertain,not_applicable,source_key_verified,available_unverified,consistency_check_only,verified,incomplete,medium,medium,medium,medium,metadata_unverified,medium,teacher_only,False,0,True,Requires independent human mathematical verification against the complete source.
APCALC-AB-FRQ-1976-05,frq,1976,AP Calculus AB,5,5,5.3 / 5.4,5.3 / 5.4,APCALC-5.3; APCALC-5.4,APCALC-5.3; APCALC-5.4,Canonical provenance only; source scan not supplied in this run,15,uncertain,uncertain,not_applicable,source_key_verified,available_unverified,consistency_check_only,verified,incomplete,medium,medium,medium,medium,metadata_unverified,medium,teacher_only,False,0,True,Requires independent human mathematical verification against the complete source.
APCALC-AB-FRQ-1976-06,frq,1976,AP Calculus AB,6,6,6.4 / 6.5,6.4 / 6.5,APCALC-6.4; APCALC-6.5,APCALC-6.4; APCALC-6.5,Canonical provenance only; source scan not supplied in this run,15,uncertain,uncertain,not_applicable,source_key_verified,available_unverified,consistency_check_only,verified,incomplete,medium,medium,medium,medium,metadata_unverified,medium,teacher_only,False,0,True,Requires independent human mathematical verification against the complete source.
APCALC-AB-FRQ-1976-07,frq,1976,AP Calculus AB,2,2,2.2,2.2,APCALC-2.2; APCALC-2.3,APCALC-2.2; APCALC-2.3,Canonical provenance only; source scan not supplied in this run,15,uncertain,uncertain,not_applicable,source_key_verified,available_unverified,consistency_check_only,verified,incomplete,high,high,high,high,metadata_unverified,high,teacher_only,False,0,True,Requires independent human mathematical verification against the complete source.
APCALC-AB-FRQ-1977-01,frq,1977,AP Calculus AB,3,3,3.1 with prerequisite function analysis,3.1 with prerequisite function analysis,APCALC-1.1; APCALC-3.1; APCALC-3.3,APCALC-1.1; APCALC-3.1; APCALC-3.3,Canonical provenance only; source scan not supplied in this run,15; 16,uncertain,uncertain,not_applicable,source_key_verified,available_unverified,consistency_check_only,verified,incomplete,medium,medium,medium,medium,metadata_unverified,medium,teacher_only,False,1,True,Requires independent human mathematical verification against the complete source.
APCALC-AB-FRQ-1977-02,frq,1977,AP Calculus AB,5,5,5.3 / 5.4 / 5.6,5.3 / 5.4 / 5.6,APCALC-5.3; APCALC-5.4; APCALC-5.6,APCALC-5.3; APCALC-5.4; APCALC-5.6,Canonical provenance only; source scan not supplied in this run,16,uncertain,uncertain,not_applicable,source_key_verified,available_unverified,consistency_check_only,verified,incomplete,medium,medium,medium,medium,metadata_unverified,medium,teacher_only,False,2,True,Requires independent human mathematical verification against the complete source.
APCALC-AB-FRQ-1977-03,frq,1977,AP Calculus AB,8,8,8.4 / 8.8,8.4 / 8.8,APCALC-8.4; APCALC-8.8; APCALC-6.8,APCALC-8.4; APCALC-8.8; APCALC-6.8,Canonical provenance only; source scan not supplied in this run,16,uncertain,uncertain,not_applicable,source_key_verified,available_unverified,consistency_check_only,verified,incomplete,medium,medium,medium,medium,metadata_unverified,medium,teacher_only,False,0,True,Requires independent human mathematical verification against the complete source.
APCALC-AB-FRQ-1977-04,frq,1977,AP Calculus AB,3,3,2.6 / 2.8 / 2.9 / 3.1 / 3.3,2.6 / 2.8 / 2.9 / 3.1 / 3.3,APCALC-2.8; APCALC-2.9; APCALC-3.1; APCALC-3.3,APCALC-2.8; APCALC-2.9; APCALC-3.1; APCALC-3.3,Canonical provenance only; source scan not supplied in this run,16,uncertain,uncertain,not_applicable,source_key_verified,available_unverified,consistency_check_only,verified,incomplete,medium,medium,medium,medium,metadata_unverified,medium,teacher_only,False,7,True,Requires independent human mathematical verification against the complete source.
